"age","Medu","Fedu","traveltime","studytime","failures","famrel","freetime","goout","health","absences","alc_use","G1","G2","G3"
16,3,2,1,1,0,5,4,3,5,2,1,12,13,14
15,2,3,2,1,0,3,5,1,5,2,1,10,9,8
15,4,3,1,3,0,5,4,3,4,1,1,14,15,16
16,4,4,2,3,0,2,4,3,5,6,1,14,14,14
15,3,4,1,3,0,4,3,2,5,2,1,12,12,12
15,2,2,1,1,0,4,3,1,2,8,1,14,13,12
16,2,2,2,2,0,3,3,3,3,20,1.5,9,10,10
15,4,4,1,1,0,5,4,3,5,8,3,11,12,12
15,4,4,1,2,0,4,3,3,5,1,1,16,16,16
15,2,2,1,1,0,5,4,1,1,0,1,8,9,10
16,2,2,2,2,1,4,3,3,5,14,2,10,10,10
15,4,3,1,2,0,5,2,2,5,6,1,9,10,8
16,3,3,1,2,0,2,3,5,3,9,2.5,12,12,12
16,4,3,1,4,0,4,2,2,2,3,1,18,18,18
15,4,2,1,2,0,4,3,3,5,3,2,13,14,14
15,4,4,1,2,0,4,4,4,3,2,1,10,10,10
16,2,2,3,2,0,4,3,3,4,1,2.5,13,13,13
15,4,2,1,2,0,4,3,3,5,1,1,14,14,14
15,4,2,2,1,0,5,5,5,5,5,3.5,10,10,10
15,4,4,1,1,0,3,3,4,5,0,2.5,10,11,12
15,3,3,1,1,0,5,3,4,1,3,4,12,12,13
16,2,1,1,2,0,5,3,4,2,5,1,10,11,11
15,4,3,1,2,0,4,3,2,1,0,1,14,14,15
15,4,4,1,2,0,3,2,2,5,6,1,14,15,16
15,1,2,1,2,0,4,3,2,5,1,1,12,12,12
16,4,2,1,2,0,4,2,3,5,2,1,16,16,16
16,4,4,1,2,0,2,4,4,4,3,2.5,14,14,14
16,1,1,4,1,0,5,5,5,5,3,5,10,9,14
16,1,2,1,2,0,4,4,3,1,2,1,10,12,10
16,4,3,1,3,0,3,4,4,4,1,3,12,11,11
15,4,3,1,2,0,4,4,4,2,0,3,12,11,11
16,4,3,3,2,0,5,4,3,1,2,1.5,16,15,16
15,4,4,1,4,0,1,3,3,3,2,5,12,12,12
16,3,1,1,4,0,4,3,3,5,2,1.5,8,8,8
15,2,2,2,2,0,4,1,3,4,1,2,10,10,10
15,3,1,2,4,0,4,4,2,3,9,2.5,16,16,16
16,3,1,2,4,0,4,3,2,5,1,1,13,13,13
15,4,2,1,4,0,3,3,3,3,0,1,10,10,10
15,1,1,1,2,1,3,3,4,5,2,3,10,8,8
16,3,1,1,1,0,5,3,2,5,1,2,12,12,14
16,3,3,1,2,0,4,3,3,5,29,3,11,12,11
15,4,3,1,2,0,4,3,3,5,3,2.5,10,10,10
15,4,0,2,4,0,3,4,3,1,4,1,12,11,10
16,2,2,1,4,0,5,2,3,3,0,2,12,12,12
17,2,1,2,1,3,4,5,1,3,1,1,8,8,10
17,2,1,2,1,2,4,4,3,4,12,1.5,8,8,8
16,3,4,1,2,0,2,4,3,3,13,1.5,8,8,8
15,2,3,1,1,0,3,2,2,3,1,2,10,12,12
15,2,3,1,3,0,5,3,2,5,3,1.5,10,10,10
15,3,2,1,2,0,4,4,4,5,7,1,10,8,8
15,2,2,2,2,0,5,3,3,4,3,2,14,14,14
15,1,1,1,2,0,4,3,2,4,2,2.5,11,11,11
15,4,4,2,2,1,4,4,4,5,5,2.5,10,10,10
16,2,2,1,2,0,4,3,4,2,5,1.5,10,9,8
15,4,2,1,3,0,5,3,3,1,4,2,14,14,14
16,2,2,2,2,0,4,4,2,3,9,1,12,10,10
16,4,4,1,2,0,4,1,3,5,12,4,8,8,8
16,3,3,1,3,0,4,3,3,4,1,2,8,9,10
15,4,3,1,1,0,4,5,5,1,5,2,15,15,16
16,3,1,1,2,0,3,3,3,2,2,2.5,10,10,9
16,4,2,2,2,0,5,3,3,1,1,1,12,12,12
15,2,2,1,4,0,4,3,4,4,4,1,11,12,13
15,1,1,2,4,0,3,1,2,1,3,1,10,12,12
16,4,3,2,1,0,3,3,3,4,4,1,10,13,13
16,2,1,1,2,0,4,3,5,5,1,1,10,10,11
16,4,4,1,1,0,5,3,4,1,5,1.5,12,14,14
16,4,3,1,3,0,5,3,5,3,1,1,10,11,10
16,4,4,1,1,0,4,5,5,4,13,5,8,8,6
16,4,4,1,3,0,4,4,3,4,0,1,16,16,16
15,4,4,1,1,0,5,3,3,5,3,1,11,13,13
15,3,2,2,2,0,4,3,5,2,21,1,9,8,8
15,3,4,1,2,0,5,4,4,1,0,1,16,17,17
15,3,3,1,4,0,4,3,3,4,10,1,10,10,10
15,2,2,1,4,0,5,1,2,3,6,1,8,9,9
16,3,3,1,3,0,5,3,3,5,3,1,14,16,16
16,3,3,1,2,0,4,2,3,4,1,1.5,14,15,16
15,4,4,4,4,0,1,3,5,1,7,4,11,12,12
16,4,4,1,3,0,5,4,5,4,3,1,14,15,15
15,4,4,1,1,0,5,5,3,4,5,1,16,16,16
16,3,3,1,3,0,4,1,2,2,2,1,9,10,10
16,2,2,1,2,1,3,1,2,5,9,1,9,12,12
15,4,2,1,1,0,3,5,2,3,10,1,18,18,18
15,2,1,1,2,0,5,4,2,5,6,1,10,9,10
16,4,4,1,2,0,5,4,4,5,4,1.5,16,14,15
16,4,4,1,2,0,4,4,3,5,9,2,12,12,12
15,4,4,2,2,0,4,4,3,2,3,1,14,14,15
16,3,3,2,1,0,5,4,2,5,3,1,14,14,14
17,1,3,3,2,1,5,2,4,5,17,2.5,10,9,10
15,3,4,1,1,0,3,4,3,4,4,1.5,14,13,14
15,1,2,1,2,0,3,2,3,1,1,1.5,15,14,14
15,2,2,1,4,0,5,5,4,5,6,1.5,15,14,14
16,2,4,2,2,0,4,2,2,5,2,1.5,14,12,13
16,4,4,1,1,0,3,4,4,5,11,2.5,13,12,13
16,2,2,1,2,0,5,4,4,5,0,1,10,9,10
15,3,4,1,1,0,5,5,5,5,1,2.5,11,11,10
15,3,4,1,2,0,5,3,2,1,0,1,8,10,11
19,0,1,1,2,2,3,4,2,5,1,1,8,9,10
16,4,4,1,1,0,3,5,5,4,8,3.5,16,16,16
15,3,4,2,3,1,4,2,2,5,0,2,11,6,6
15,1,1,3,1,0,4,3,3,4,3,1.5,10,6,6
17,2,2,1,1,0,3,4,4,5,7,2,12,12,12
16,3,4,1,1,0,3,2,1,5,14,2.5,14,12,12
15,3,4,4,2,0,5,3,3,5,1,1,10,6,6
15,4,4,1,3,0,4,3,3,5,2,1,12,7,8
17,3,4,3,2,0,5,4,5,5,1,3,10,4,5
16,3,3,2,1,1,4,3,2,5,2,1,6,4,5
16,1,1,1,2,2,4,4,4,5,0,2,12,11,11
15,4,4,2,1,0,4,3,2,5,3,1,14,15,14
15,4,3,2,4,0,2,2,2,3,3,1,8,10,6
16,2,2,2,1,1,2,3,3,2,6,2,10,10,10
15,4,4,1,3,0,4,2,2,5,2,1,11,12,12
16,1,1,1,1,0,3,4,4,1,3,3,12,12,12
17,2,1,2,1,3,4,4,3,4,0,1.5,7,4,5
17,2,1,1,1,2,5,4,5,5,11,1.5,7,4,3
15,1,1,1,2,0,4,4,2,5,0,1.5,10,12,12
15,3,2,1,2,2,3,3,2,3,1,1,8,9,6
15,1,2,1,2,0,4,3,2,5,4,1,12,12,12
16,4,4,1,2,0,4,4,3,5,3,2,12,10,7
16,4,4,1,1,0,3,3,2,5,8,1.5,8,8,4
15,2,1,4,1,2,4,5,5,5,0,3.5,10,10,10
18,1,1,1,1,2,2,3,5,4,0,3.5,8,7,0
16,2,1,1,1,1,4,4,4,5,6,4,10,12,12
15,3,3,2,3,1,4,2,1,3,5,2.5,12,12,12
19,3,2,1,1,2,4,5,4,4,3,1,8,4,6
17,4,4,1,1,0,4,2,1,4,0,1,12,12,12
15,2,3,1,2,0,4,4,4,1,1,1,9,8,8
17,1,2,1,1,2,2,2,2,5,11,3,12,10,12
18,1,1,3,1,3,5,2,5,4,6,3,10,9,10
16,2,2,3,1,0,4,2,2,3,3,1.5,14,12,13
16,3,3,1,2,1,4,5,5,5,2,4,10,11,6
17,2,1,2,1,2,3,3,2,5,4,2,8,7,4
17,1,1,4,2,2,5,3,5,5,0,3,6,8,8
16,2,2,1,2,0,4,3,5,4,2,3,10,10,10
16,4,2,1,2,0,4,2,3,3,0,1,16,16,17
16,2,2,1,2,0,5,1,5,4,0,1,9,10,6
16,4,4,1,2,0,4,4,2,3,0,1,15,15,16
16,3,4,3,1,2,3,4,5,2,2,3,8,7,5
16,1,0,2,2,0,4,3,2,3,1,1,14,16,17
17,4,4,1,2,0,4,4,4,5,0,2,12,10,10
16,1,3,1,2,2,4,3,5,3,0,1,11,10,6
16,3,3,2,2,0,4,4,5,4,2,1,12,12,12
17,4,3,2,2,0,4,4,4,4,2,4,10,10,10
16,2,2,2,2,0,3,4,4,5,1,2.5,13,12,12
17,3,3,1,2,0,4,3,4,4,4,2.5,8,7,8
16,4,2,1,1,0,4,3,3,3,9,3.5,10,8,10
17,4,3,1,2,0,5,2,3,2,4,1,10,10,12
16,4,3,1,2,0,3,4,3,3,7,2.5,10,9,10
16,3,3,1,2,0,4,2,3,4,3,1.5,12,14,13
16,3,3,1,2,0,4,2,3,3,1,1.5,12,12,12
17,2,4,1,2,0,5,4,2,5,0,2.5,16,18,17
17,3,3,1,2,0,5,3,3,1,44,2.5,12,11,11
16,3,2,1,2,0,1,2,2,1,11,1.5,13,14,14
17,3,3,1,2,0,4,3,4,4,9,2.5,12,12,12
16,1,2,1,1,0,3,3,3,3,1,1.5,10,10,11
16,2,1,1,2,0,4,2,3,5,0,1.5,14,14,16
17,3,3,1,2,0,3,3,3,3,8,2,10,10,12
17,1,2,1,2,0,3,1,3,3,5,3,8,9,10
16,2,3,1,2,0,4,3,3,2,8,1,12,12,13
17,1,1,1,2,0,5,3,3,3,0,1,10,10,10
17,1,2,2,2,0,4,4,4,5,14,4.5,8,10,10
16,3,3,1,1,0,4,3,2,5,4,3.5,10,10,10
16,2,3,2,1,0,5,3,3,3,0,1,13,13,13
17,2,4,1,2,0,4,3,2,5,4,1,14,15,16
17,4,4,1,1,0,5,2,3,5,4,1.5,15,14,15
16,3,3,3,1,0,3,3,4,3,12,4,10,10,11
17,4,4,2,1,1,4,2,4,2,27,2.5,16,16,17
16,4,4,1,2,0,4,5,2,3,0,1.5,10,10,10
16,4,3,1,2,0,4,3,5,2,2,3,15,15,16
16,2,3,1,2,0,4,4,3,4,5,2,10,11,11
17,1,1,1,2,0,4,4,4,1,2,2,12,12,12
17,2,2,1,1,0,5,3,2,3,20,1.5,10,10,10
16,2,2,2,4,0,5,3,5,5,6,1,12,12,12
17,3,4,1,3,1,4,4,3,5,21,3.5,9,9,8
16,3,1,1,2,2,2,3,3,4,4,2,9,9,10
16,4,3,1,2,0,1,3,2,1,7,1,12,14,14
16,1,1,2,1,0,4,3,2,5,4,2.5,10,11,12
17,4,3,2,3,0,4,4,2,4,3,1,9,10,10
19,3,3,1,4,0,4,3,3,3,7,1.5,10,10,10
17,4,4,1,2,0,5,3,5,3,14,4.5,12,12,12
16,2,2,1,2,0,3,3,4,4,0,1,12,13,14
18,2,2,1,2,0,4,4,4,5,12,3,9,9,10
17,4,4,1,1,0,5,2,1,3,9,1.5,10,10,10
17,3,2,2,2,0,4,4,4,1,2,2,14,16,15
17,4,3,1,2,1,3,4,5,1,19,3,8,8,7
18,3,3,1,2,0,3,2,4,4,12,3,8,8,9
17,2,3,2,1,0,3,3,3,3,4,2.5,10,10,10
17,2,2,1,3,0,4,3,3,4,2,1,10,11,12
17,2,1,2,2,0,4,2,5,5,1,1.5,8,8,8
17,1,1,1,3,0,4,3,4,5,6,1,9,8,6
16,2,3,1,2,0,2,3,1,3,1,1,14,14,16
18,2,2,2,2,2,3,3,3,4,4,5,11,11,12
16,4,4,1,3,0,5,3,2,5,2,1,14,14,15
18,3,1,1,2,0,5,3,3,4,10,1,8,8,8
17,3,2,1,2,0,5,3,4,3,6,2,16,16,16
17,2,3,1,2,0,5,3,3,3,1,2,11,11,12
18,2,1,4,2,0,4,3,2,3,8,4.5,10,9,10
17,2,1,2,3,0,3,2,3,3,5,1.5,14,12,14
17,4,3,1,2,0,3,2,3,3,7,1.5,14,12,13
17,2,2,2,2,0,4,5,2,1,2,1,12,12,12
17,4,4,1,2,0,4,5,5,2,7,2,12,11,11
16,4,4,1,2,0,4,2,4,1,1,3,14,13,14
16,1,1,2,2,0,3,4,2,5,10,1,9,8,8
16,3,2,2,3,0,5,3,3,2,5,2,12,10,11
17,2,2,1,2,0,4,4,2,4,2,5,15,14,14
16,2,1,1,1,0,4,5,2,5,12,1,11,11,11
17,2,1,3,2,0,2,1,1,3,2,1,13,12,12
18,2,2,1,2,0,5,5,4,2,8,4,8,7,4
17,4,3,2,2,0,2,5,5,5,11,2.5,14,14,14
17,4,4,2,2,0,3,3,3,4,1,2.5,11,12,12
16,4,3,1,1,0,5,4,5,3,4,1,10,7,8
16,4,4,1,2,0,5,3,2,5,0,1.5,14,12,12
16,4,4,1,1,0,5,3,2,5,2,1.5,14,14,14
18,2,1,2,3,0,4,4,4,3,5,1,10,5,6
16,2,1,3,1,0,4,3,3,4,6,1,16,17,17
17,2,3,2,1,0,5,2,2,2,3,1,10,12,13
22,3,1,1,1,3,5,4,5,1,14,5,6,8,6
18,3,3,1,2,0,4,3,3,5,8,2,6,7,8
16,0,2,1,1,0,4,3,2,5,0,3,12,14,13
18,3,2,2,1,0,4,4,5,5,4,3,6,8,8
16,3,3,3,2,0,5,3,3,2,5,2,8,10,10
18,2,1,1,1,2,3,2,5,5,4,3.5,6,8,7
16,2,1,2,1,0,3,3,2,3,1,2,11,11,10
17,2,1,1,1,0,4,4,2,5,0,3,10,12,12
17,1,1,2,1,1,4,4,4,5,1,1.5,8,10,9
17,4,2,1,4,0,4,2,3,4,4,1,14,14,15
19,4,3,1,2,0,4,3,1,1,8,1,11,12,12
18,2,1,1,2,0,5,2,4,4,5,1.5,16,15,15
17,2,2,1,4,0,3,4,1,2,1,1,10,10,6
18,4,3,1,2,0,3,1,2,2,12,2,16,16,16
18,4,3,1,2,0,4,3,2,3,2,1,9,9,10
18,3,2,1,3,0,5,3,2,3,2,1,12,12,12
17,3,3,1,3,0,3,2,3,4,3,1,12,10,11
18,2,2,1,3,0,4,3,3,3,0,1,10,11,6
18,3,4,2,2,0,4,2,5,1,10,3.5,16,16,16
17,3,1,1,2,0,5,4,4,5,1,3.5,10,10,12
18,4,4,2,2,0,4,3,4,4,8,2,11,10,12
18,4,2,1,2,0,5,4,5,5,7,2,10,10,12
18,2,1,2,2,0,4,3,5,3,6,1.5,7,4,5
19,3,3,1,2,1,4,3,5,5,16,3,10,10,10
18,2,3,1,4,0,4,5,5,2,7,2,16,15,15
18,1,1,2,2,0,4,4,3,3,2,1,12,12,12
17,1,2,1,2,0,3,5,2,1,2,2,16,16,16
17,2,4,2,2,0,4,3,3,1,4,1,12,13,13
17,2,2,2,2,0,4,4,4,5,6,2.5,12,12,12
18,3,2,2,2,0,4,1,1,5,45,1,11,9,10
18,4,4,2,1,0,3,2,4,3,14,2.5,10,10,10
18,4,4,2,2,0,4,2,4,2,11,2.5,10,10,11
18,4,4,1,2,1,2,4,4,4,8,1,12,10,10
18,4,3,2,1,0,4,2,3,1,4,1.5,10,10,10
17,4,1,2,1,0,4,5,4,5,26,3,10,10,9
17,3,2,1,1,0,4,4,4,3,18,3.5,12,11,12
18,1,1,2,4,0,5,2,2,3,2,1,14,14,15
18,1,1,2,2,0,5,4,4,4,2,1,10,11,12
18,1,1,2,2,0,4,4,4,3,2,1.5,11,12,12
17,2,2,1,2,0,5,4,5,5,8,1.5,11,10,12
17,1,1,1,2,0,4,3,3,4,1,1.5,12,11,12
18,2,2,1,3,0,4,3,3,2,2,1.5,18,18,18
17,1,1,1,3,0,4,3,3,3,3,1,13,12,13
18,2,1,1,3,0,4,2,4,2,3,2,14,14,14
18,4,4,1,2,0,5,4,3,2,4,1,16,15,16
18,4,2,1,2,0,4,3,2,5,6,2.5,14,14,14
17,4,3,1,3,0,4,2,2,3,0,1.5,16,16,16
17,3,1,2,4,0,3,1,2,3,3,1,18,18,18
18,3,2,2,3,0,5,4,2,4,4,1,14,14,14
17,3,3,1,1,0,4,4,3,5,2,2,14,14,13
19,4,4,2,2,0,2,3,4,2,1,2.5,12,11,6
18,4,3,2,2,0,4,4,5,2,5,1.5,12,11,11
18,4,3,1,4,0,4,3,3,3,0,1,15,15,16
18,4,4,1,1,0,1,4,2,1,2,2,17,16,16
18,4,4,1,2,0,4,2,4,4,7,1,13,12,13
17,4,4,2,1,0,4,1,1,5,0,2,12,12,12
17,4,2,2,3,0,4,3,3,3,0,1,16,14,15
17,3,2,1,4,0,5,2,2,5,0,1.5,18,18,18
20,3,2,1,1,1,5,5,3,5,0,1,16,16,16
19,3,3,1,2,0,4,5,3,5,0,1.5,12,11,12
18,2,1,2,2,0,5,3,3,1,1,1.5,10,10,8
18,4,3,1,3,0,4,3,4,5,6,1,12,12,13
17,3,4,1,3,0,4,3,4,5,1,3.5,13,13,14
18,4,4,1,2,0,4,4,4,5,1,3,12,11,12
17,4,3,1,2,0,5,2,2,5,18,1.5,14,14,15
17,2,2,1,2,0,4,2,2,3,8,1,12,11,11
17,2,2,1,3,0,3,3,2,3,2,2,11,11,10
17,3,1,1,3,0,3,4,3,5,0,2.5,14,16,16
17,0,2,2,3,0,3,3,3,2,0,2.5,15,14,15
18,4,4,1,3,0,4,3,3,3,2,2,11,13,12
17,3,3,1,1,0,4,3,5,5,2,4,16,16,16
17,2,2,4,1,0,4,4,5,4,5,5,11,10,10
17,4,4,1,2,0,5,4,2,4,4,2.5,10,10,10
17,4,4,1,3,0,5,4,4,4,4,2,12,10,11
17,4,4,2,3,0,4,3,3,4,4,1.5,14,14,14
18,2,2,1,4,0,4,5,5,5,1,3,10,10,10
17,2,4,1,3,0,4,4,3,5,4,1,14,14,14
18,3,3,1,2,0,5,3,4,4,4,1,8,6,6
18,2,2,1,2,0,4,3,3,2,0,1,9,8,6
18,2,2,2,4,0,4,4,4,4,3,1,12,11,7
17,3,4,1,3,0,4,4,5,5,12,2,14,14,14
17,3,2,1,2,0,4,3,2,2,0,2.5,10,10,8
18,3,3,1,4,0,5,3,3,1,6,1,15,14,16
17,3,2,1,2,0,4,3,3,2,2,2.5,12,12,13
18,4,4,2,2,0,4,2,4,2,3,2.5,10,11,6
18,4,4,1,2,0,4,3,3,2,0,2,11,11,6
18,3,4,1,2,0,4,3,3,5,8,2,16,16,16
17,2,2,1,2,0,3,3,1,4,9,1.5,10,10,7
18,2,3,1,3,0,4,3,3,3,2,1.5,11,11,12
18,3,2,1,3,0,5,4,3,1,6,2.5,14,14,16
18,4,3,1,3,0,5,3,2,4,6,1.5,16,14,16
18,4,3,1,3,0,5,4,5,5,0,2.5,12,12,12
17,4,3,1,3,0,4,4,3,4,0,2,12,14,14
18,3,2,2,1,0,2,5,5,5,9,5,10,12,12
19,1,1,3,2,2,5,4,4,2,8,3,9,8,10
17,3,3,2,2,0,4,5,4,3,3,2.5,10,11,12
18,1,3,1,1,0,4,3,3,3,4,2.5,8,8,8
19,1,1,3,1,1,4,4,4,5,4,3,8,8,9
17,4,3,2,2,0,4,5,5,2,4,2,12,11,11
18,3,3,1,2,0,5,3,4,5,0,1,10,10,10
17,4,4,2,2,0,4,3,3,5,3,1.5,12,12,12
17,3,2,2,2,0,1,2,3,5,1,1.5,14,13,13
18,1,1,2,1,0,3,3,2,3,3,1.5,12,12,12
18,1,1,2,3,0,5,3,2,4,0,1,18,16,17
18,3,3,2,2,0,4,3,2,3,3,2,12,12,12
17,4,4,1,2,0,2,3,4,1,2,1,16,14,15
17,1,2,2,2,0,3,2,2,3,0,1.5,12,12,12
18,1,3,2,2,0,3,3,4,3,2,3,9,10,10
18,4,4,2,3,0,4,2,2,5,0,2,14,14,14
17,1,1,3,1,1,5,2,1,1,0,1.5,8,7,4
18,2,3,2,1,0,5,2,3,4,0,1.5,10,10,10
18,4,4,3,2,0,3,2,2,5,5,3,10,8,6
18,1,2,3,1,0,4,3,3,3,3,2.5,12,11,11
17,2,2,1,3,0,3,4,3,3,8,1,12,11,12
17,1,2,1,1,0,3,5,5,1,9,2,6,6,7
18,4,4,2,3,0,5,4,4,1,0,1,17,18,18
18,1,1,4,3,0,4,3,2,4,3,1.5,9,10,11
18,4,4,1,2,0,5,4,3,2,2,3.5,10,12,12
18,3,3,1,2,0,4,1,3,1,0,1.5,16,16,16
17,3,1,1,2,0,4,5,4,1,14,2.5,9,10,10
18,4,4,1,2,0,3,2,4,2,4,2.5,16,16,16
18,2,1,2,1,0,4,4,3,5,2,2,7,6,4
17,2,3,2,2,0,4,4,3,3,3,1,12,13,13
19,1,1,2,1,1,4,3,2,5,0,2,6,6,0
18,4,2,2,1,1,5,4,3,3,7,3.5,6,6,2
18,2,2,2,3,0,5,3,3,4,1,2,12,13,12
18,4,4,3,1,0,4,4,3,5,6,2,6,7,8
19,2,3,1,3,1,5,4,2,5,2,1.5,8,8,5
18,3,1,1,2,0,4,3,4,1,2,1,11,12,12
18,1,1,2,2,2,2,2,2,5,2,2,6,6,4
18,1,1,2,2,0,1,1,1,5,3,1,8,8,4
17,3,1,2,1,0,2,4,5,2,4,3.5,12,13,13
18,3,2,3,1,0,4,4,1,5,2,3.5,10,12,10
