"sex","age","Medu","Fedu","traveltime","studytime","failures","famrel","freetime","goout","health","absences","alc_use","Grade"
"M",16,4,4,1,2,0,4,4,5,5,10,5,11.6666666666667
"M",15,4,4,1,2,0,5,4,2,5,0,3.5,11
"M",15,4,4,2,2,0,4,3,1,5,1,1,16
"M",15,4,3,1,2,0,4,5,2,5,0,1,15.3333333333333
"M",15,3,3,1,2,0,5,3,2,2,0,1,11
"M",16,3,2,1,1,0,5,4,3,5,2,1,13
"F",15,2,3,2,1,0,3,5,1,5,2,1,9
"M",15,4,3,1,3,0,5,4,3,4,1,1,15
"M",16,4,4,2,3,0,2,4,3,5,6,1,14
"F",15,3,4,1,3,0,4,3,2,5,2,1,12
"F",15,2,2,1,1,0,4,3,1,2,8,1,13
"F",16,2,2,2,2,0,3,3,3,3,20,1.5,9.66666666666667
"M",15,4,4,1,1,0,5,4,3,5,8,3,11.6666666666667
"M",15,4,4,1,2,0,4,3,3,5,1,1,16
"M",15,2,2,1,1,0,5,4,1,1,0,1,9
"F",16,2,2,2,2,1,4,3,3,5,14,2,10
"F",15,4,3,1,2,0,5,2,2,5,6,1,9
"F",16,3,3,1,2,0,2,3,5,3,9,2.5,12
"M",16,4,3,1,4,0,4,2,2,2,3,1,18
"M",15,4,2,1,2,0,4,3,3,5,3,2,13.6666666666667
"F",15,4,4,1,2,0,4,4,4,3,2,1,10
"F",16,2,2,3,2,0,4,3,3,4,1,2.5,13
"F",15,4,2,1,2,0,4,3,3,5,1,1,14
"M",15,4,2,2,1,0,5,5,5,5,5,3.5,10
"F",15,4,4,1,1,0,3,3,4,5,0,2.5,11
"F",15,3,3,1,1,0,5,3,4,1,3,4,12.3333333333333
"F",16,2,1,1,2,0,5,3,4,2,5,1,10.6666666666667
"F",15,4,3,1,2,0,4,3,2,1,0,1,14.3333333333333
"M",15,4,4,1,2,0,3,2,2,5,6,1,15
"M",15,1,2,1,2,0,4,3,2,5,1,1,12
"F",16,4,2,1,2,0,4,2,3,5,2,1,16
"F",16,4,4,1,2,0,2,4,4,4,3,2.5,14
"F",16,1,1,4,1,0,5,5,5,5,3,5,11
"F",16,1,2,1,2,0,4,4,3,1,2,1,10.6666666666667
"F",16,4,3,1,3,0,3,4,4,4,1,3,11.3333333333333
"F",15,4,3,1,2,0,4,4,4,2,0,3,11.3333333333333
"F",16,4,3,3,2,0,5,4,3,1,2,1.5,15.6666666666667
"M",15,4,4,1,4,0,1,3,3,3,2,5,12
"F",16,3,1,1,4,0,4,3,3,5,2,1.5,8
"F",15,2,2,2,2,0,4,1,3,4,1,2,10
"F",15,3,1,2,4,0,4,4,2,3,9,2.5,16
"M",16,3,1,2,4,0,4,3,2,5,1,1,13
"M",15,4,2,1,4,0,3,3,3,3,0,1,10
"F",15,1,1,1,2,1,3,3,4,5,2,3,8.66666666666667
"M",16,3,1,1,1,0,5,3,2,5,1,2,12.6666666666667
"F",16,3,3,1,2,0,4,3,3,5,29,3,11.3333333333333
"M",15,4,3,1,2,0,4,3,3,5,3,2.5,10
"M",15,4,0,2,4,0,3,4,3,1,4,1,11
"F",16,2,2,1,4,0,5,2,3,3,0,2,12
"M",17,2,1,2,1,3,4,5,1,3,1,1,8.66666666666667
"M",17,2,1,2,1,2,4,4,3,4,12,1.5,8
"F",16,3,4,1,2,0,2,4,3,3,13,1.5,8
"M",15,2,3,1,1,0,3,2,2,3,1,2,11.3333333333333
"M",15,2,3,1,3,0,5,3,2,5,3,1.5,10
"F",15,3,2,1,2,0,4,4,4,5,7,1,8.66666666666667
"M",15,2,2,2,2,0,5,3,3,4,3,2,14
"F",15,1,1,1,2,0,4,3,2,4,2,2.5,11
"F",15,4,4,2,2,1,4,4,4,5,5,2.5,10
"F",16,2,2,1,2,0,4,3,4,2,5,1.5,9
"F",15,4,2,1,3,0,5,3,3,1,4,2,14
"M",16,2,2,2,2,0,4,4,2,3,9,1,10.6666666666667
"M",16,4,4,1,2,0,4,1,3,5,12,4,8
"F",16,3,3,1,3,0,4,3,3,4,1,2,9
"F",15,4,3,1,1,0,4,5,5,1,5,2,15.3333333333333
"F",16,3,1,1,2,0,3,3,3,2,2,2.5,9.66666666666667
"F",16,4,2,2,2,0,5,3,3,1,1,1,12
"M",15,2,2,1,4,0,4,3,4,4,4,1,12
"F",15,1,1,2,4,0,3,1,2,1,3,1,11.3333333333333
"M",16,4,3,2,1,0,3,3,3,4,4,1,12
"F",16,2,1,1,2,0,4,3,5,5,1,1,10.3333333333333
"F",16,4,4,1,1,0,5,3,4,1,5,1.5,13.3333333333333
"F",16,4,3,1,3,0,5,3,5,3,1,1,10.3333333333333
"M",16,4,4,1,1,0,4,5,5,4,13,5,7.33333333333333
"M",16,4,4,1,3,0,4,4,3,4,0,1,16
"M",15,4,4,1,1,0,5,3,3,5,3,1,12.3333333333333
"F",15,3,2,2,2,0,4,3,5,2,21,1,8.33333333333333
"M",15,3,4,1,2,0,5,4,4,1,0,1,16.6666666666667
"F",15,3,3,1,4,0,4,3,3,4,10,1,10
"F",15,2,2,1,4,0,5,1,2,3,6,1,8.66666666666667
"M",16,3,3,1,3,0,5,3,3,5,3,1,15.3333333333333
"M",16,3,3,1,2,0,4,2,3,4,1,1.5,15
"M",15,4,4,4,4,0,1,3,5,1,7,4,11.6666666666667
"F",16,4,4,1,3,0,5,4,5,4,3,1,14.6666666666667
"M",15,4,4,1,1,0,5,5,3,4,5,1,16
"F",16,3,3,1,3,0,4,1,2,2,2,1,9.66666666666667
"F",16,2,2,1,2,1,3,1,2,5,9,1,11
"M",15,4,2,1,1,0,3,5,2,3,10,1,18
"M",15,2,1,1,2,0,5,4,2,5,6,1,9.66666666666667
"M",16,4,4,1,2,0,5,4,4,5,4,1.5,15
"M",16,4,4,1,2,0,4,4,3,5,9,2,12
"M",15,4,4,2,2,0,4,4,3,2,3,1,14.3333333333333
"M",16,3,3,2,1,0,5,4,2,5,3,1,14
"M",17,1,3,3,2,1,5,2,4,5,17,2.5,9.66666666666667
"M",15,3,4,1,1,0,3,4,3,4,4,1.5,13.6666666666667
"F",15,1,2,1,2,0,3,2,3,1,1,1.5,14.3333333333333
"M",15,2,2,1,4,0,5,5,4,5,6,1.5,14.3333333333333
"F",16,2,4,2,2,0,4,2,2,5,2,1.5,13
"M",16,4,4,1,1,0,3,4,4,5,11,2.5,12.6666666666667
"F",16,2,2,1,2,0,5,4,4,5,0,1,9.66666666666667
"M",15,3,4,1,1,0,5,5,5,5,1,2.5,10.6666666666667
"F",15,3,4,1,2,0,5,3,2,1,0,1,9.66666666666667
"F",19,0,1,1,2,2,3,4,2,5,1,1,9
"M",16,4,4,1,1,0,3,5,5,4,8,3.5,16
"F",15,3,4,2,3,1,4,2,2,5,0,2,7.66666666666667
"F",15,1,1,3,1,0,4,3,3,4,3,1.5,7.33333333333333
"F",17,2,2,1,1,0,3,4,4,5,7,2,12
"F",16,3,4,1,1,0,3,2,1,5,14,2.5,12.6666666666667
"M",15,3,4,4,2,0,5,3,3,5,1,1,7.33333333333333
"F",15,4,4,1,3,0,4,3,3,5,2,1,9
"M",17,3,4,3,2,0,5,4,5,5,1,3,6.33333333333333
"F",16,3,3,2,1,1,4,3,2,5,2,1,5
"M",16,1,1,1,2,2,4,4,4,5,0,2,11.3333333333333
"F",15,4,4,2,1,0,4,3,2,5,3,1,14.3333333333333
"M",15,4,3,2,4,0,2,2,2,3,3,1,8
"M",16,2,2,2,1,1,2,3,3,2,6,2,10
"F",15,4,4,1,3,0,4,2,2,5,2,1,11.6666666666667
"F",16,1,1,1,1,0,3,4,4,1,3,3,12
"M",17,2,1,2,1,3,4,4,3,4,0,1.5,5.33333333333333
"M",17,2,1,1,1,2,5,4,5,5,11,1.5,4.66666666666667
"F",15,1,1,1,2,0,4,4,2,5,0,1.5,11.3333333333333
"F",15,3,2,1,2,2,3,3,2,3,1,1,7.66666666666667
"F",15,1,2,1,2,0,4,3,2,5,4,1,12
"M",16,4,4,1,2,0,4,4,3,5,3,2,9.66666666666667
"M",16,4,4,1,1,0,3,3,2,5,8,1.5,6.66666666666667
"M",15,2,1,4,1,2,4,5,5,5,0,3.5,10
"M",18,1,1,1,1,2,2,3,5,4,0,3.5,5
"M",16,2,1,1,1,1,4,4,4,5,6,4,11.3333333333333
"F",15,3,3,2,3,1,4,2,1,3,5,2.5,12
"M",19,3,2,1,1,2,4,5,4,4,3,1,6
"F",17,4,4,1,1,0,4,2,1,4,0,1,12
"M",15,2,3,1,2,0,4,4,4,1,1,1,8.33333333333333
"M",17,1,2,1,1,2,2,2,2,5,11,3,11.3333333333333
"F",18,1,1,3,1,3,5,2,5,4,6,3,9.66666666666667
"M",16,2,2,3,1,0,4,2,2,3,3,1.5,13
"M",16,3,3,1,2,1,4,5,5,5,2,4,9
"M",17,2,1,2,1,2,3,3,2,5,4,2,6.33333333333333
"M",17,1,1,4,2,2,5,3,5,5,0,3,7.33333333333333
"M",16,2,2,1,2,0,4,3,5,4,2,3,10
"F",16,4,2,1,2,0,4,2,3,3,0,1,16.3333333333333
"F",16,2,2,1,2,0,5,1,5,4,0,1,8.33333333333333
"F",16,4,4,1,2,0,4,4,2,3,0,1,15.3333333333333
"M",16,3,4,3,1,2,3,4,5,2,2,3,6.66666666666667
"M",16,1,0,2,2,0,4,3,2,3,1,1,15.6666666666667
"M",17,4,4,1,2,0,4,4,4,5,0,2,10.6666666666667
"F",16,1,3,1,2,2,4,3,5,3,0,1,9
"F",16,3,3,2,2,0,4,4,5,4,2,1,12
"M",17,4,3,2,2,0,4,4,4,4,2,4,10
"F",16,2,2,2,2,0,3,4,4,5,1,2.5,12.3333333333333
"M",17,3,3,1,2,0,4,3,4,4,4,2.5,7.66666666666667
"M",16,4,2,1,1,0,4,3,3,3,9,3.5,9.33333333333333
"M",17,4,3,1,2,0,5,2,3,2,4,1,10.6666666666667
"M",16,4,3,1,2,0,3,4,3,3,7,2.5,9.66666666666667
"M",16,3,3,1,2,0,4,2,3,4,3,1.5,13
"M",16,3,3,1,2,0,4,2,3,3,1,1.5,12
"F",17,2,4,1,2,0,5,4,2,5,0,2.5,17
"F",17,3,3,1,2,0,5,3,3,1,44,2.5,11.3333333333333
"F",16,3,2,1,2,0,1,2,2,1,11,1.5,13.6666666666667
"M",17,3,3,1,2,0,4,3,4,4,9,2.5,12
"M",16,1,2,1,1,0,3,3,3,3,1,1.5,10.3333333333333
"M",16,2,1,1,2,0,4,2,3,5,0,1.5,14.6666666666667
"F",17,3,3,1,2,0,3,3,3,3,8,2,10.6666666666667
"M",17,1,2,1,2,0,3,1,3,3,5,3,9
"F",16,2,3,1,2,0,4,3,3,2,8,1,12.3333333333333
"F",17,1,1,1,2,0,5,3,3,3,0,1,10
"M",17,1,2,2,2,0,4,4,4,5,14,4.5,9.33333333333333
"M",16,3,3,1,1,0,4,3,2,5,4,3.5,10
"M",16,2,3,2,1,0,5,3,3,3,0,1,13
"F",17,2,4,1,2,0,4,3,2,5,4,1,15
"M",17,4,4,1,1,0,5,2,3,5,4,1.5,14.6666666666667
"M",16,3,3,3,1,0,3,3,4,3,12,4,10.3333333333333
"F",17,4,4,2,1,1,4,2,4,2,27,2.5,16.3333333333333
"F",16,4,4,1,2,0,4,5,2,3,0,1.5,10
"F",16,4,3,1,2,0,4,3,5,2,2,3,15.3333333333333
"F",16,2,3,1,2,0,4,4,3,4,5,2,10.6666666666667
"F",17,1,1,1,2,0,4,4,4,1,2,2,12
"F",17,2,2,1,1,0,5,3,2,3,20,1.5,10
"F",16,2,2,2,4,0,5,3,5,5,6,1,12
"F",17,3,4,1,3,1,4,4,3,5,21,3.5,8.66666666666667
"F",16,3,1,1,2,2,2,3,3,4,4,2,9.33333333333333
"F",16,4,3,1,2,0,1,3,2,1,7,1,13.3333333333333
"F",16,1,1,2,1,0,4,3,2,5,4,2.5,11
"F",17,4,3,2,3,0,4,4,2,4,3,1,9.66666666666667
"F",19,3,3,1,4,0,4,3,3,3,7,1.5,10
"M",17,4,4,1,2,0,5,3,5,3,14,4.5,12
"F",16,2,2,1,2,0,3,3,4,4,0,1,13
"M",18,2,2,1,2,0,4,4,4,5,12,3,9.33333333333333
"F",17,4,4,1,1,0,5,2,1,3,9,1.5,10
"F",17,3,2,2,2,0,4,4,4,1,2,2,15
"F",17,4,3,1,2,1,3,4,5,1,19,3,7.66666666666667
"M",18,3,3,1,2,0,3,2,4,4,12,3,8.33333333333333
"F",17,2,3,2,1,0,3,3,3,3,4,2.5,10
"F",17,2,2,1,3,0,4,3,3,4,2,1,11
"F",17,2,1,2,2,0,4,2,5,5,1,1.5,8
"F",17,1,1,1,3,0,4,3,4,5,6,1,7.66666666666667
"F",16,2,3,1,2,0,2,3,1,3,1,1,14.6666666666667
"M",18,2,2,2,2,2,3,3,3,4,4,5,11.3333333333333
"F",16,4,4,1,3,0,5,3,2,5,2,1,14.3333333333333
"F",18,3,1,1,2,0,5,3,3,4,10,1,8
"F",17,3,2,1,2,0,5,3,4,3,6,2,16
"M",17,2,3,1,2,0,5,3,3,3,1,2,11.3333333333333
"M",18,2,1,4,2,0,4,3,2,3,8,4.5,9.66666666666667
"F",17,2,1,2,3,0,3,2,3,3,5,1.5,13.3333333333333
"F",17,4,3,1,2,0,3,2,3,3,7,1.5,13
"M",17,2,2,2,2,0,4,5,2,1,2,1,12
"M",17,4,4,1,2,0,4,5,5,2,7,2,11.3333333333333
"M",16,4,4,1,2,0,4,2,4,1,1,3,13.6666666666667
"M",16,1,1,2,2,0,3,4,2,5,10,1,8.33333333333333
"M",16,3,2,2,3,0,5,3,3,2,5,2,11
"M",17,2,2,1,2,0,4,4,2,4,2,5,14.3333333333333
"F",16,2,1,1,1,0,4,5,2,5,12,1,11
"F",17,2,1,3,2,0,2,1,1,3,2,1,12.3333333333333
"M",18,2,2,1,2,0,5,5,4,2,8,4,6.33333333333333
"M",17,4,3,2,2,0,2,5,5,5,11,2.5,14
"M",17,4,4,2,2,0,3,3,3,4,1,2.5,11.6666666666667
"M",16,4,3,1,1,0,5,4,5,3,4,1,8.33333333333333
"M",16,4,4,1,2,0,5,3,2,5,0,1.5,12.6666666666667
"M",16,4,4,1,1,0,5,3,2,5,2,1.5,14
"F",18,2,1,2,3,0,4,4,4,3,5,1,7
"M",16,2,1,3,1,0,4,3,3,4,6,1,16.6666666666667
"M",17,2,3,2,1,0,5,2,2,2,3,1,11.6666666666667
"M",22,3,1,1,1,3,5,4,5,1,14,5,6.66666666666667
"M",18,3,3,1,2,0,4,3,3,5,8,2,7
"M",16,0,2,1,1,0,4,3,2,5,0,3,13
"M",18,3,2,2,1,0,4,4,5,5,4,3,7.33333333333333
"M",16,3,3,3,2,0,5,3,3,2,5,2,9.33333333333333
"M",18,2,1,1,1,2,3,2,5,5,4,3.5,7
"M",16,2,1,2,1,0,3,3,2,3,1,2,10.6666666666667
"M",17,2,1,1,1,0,4,4,2,5,0,3,11.3333333333333
"M",17,1,1,2,1,1,4,4,4,5,1,1.5,9
"F",17,4,2,1,4,0,4,2,3,4,4,1,14.3333333333333
"M",19,4,3,1,2,0,4,3,1,1,8,1,11.6666666666667
"M",18,2,1,1,2,0,5,2,4,4,5,1.5,15.3333333333333
"F",17,2,2,1,4,0,3,4,1,2,1,1,8.66666666666667
"F",18,4,3,1,2,0,3,1,2,2,12,2,16
"M",18,4,3,1,2,0,4,3,2,3,2,1,9.33333333333333
"M",18,3,2,1,3,0,5,3,2,3,2,1,12
"F",17,3,3,1,3,0,3,2,3,4,3,1,11
"F",18,2,2,1,3,0,4,3,3,3,0,1,9
"M",18,3,4,2,2,0,4,2,5,1,10,3.5,16
"M",17,3,1,1,2,0,5,4,4,5,1,3.5,10.6666666666667
"F",18,4,4,2,2,0,4,3,4,4,8,2,11
"M",18,4,2,1,2,0,5,4,5,5,7,2,10.6666666666667
"F",18,2,1,2,2,0,4,3,5,3,6,1.5,5.33333333333333
"F",19,3,3,1,2,1,4,3,5,5,16,3,10
"F",18,2,3,1,4,0,4,5,5,2,7,2,15.3333333333333
"F",18,1,1,2,2,0,4,4,3,3,2,1,12
"M",17,1,2,1,2,0,3,5,2,1,2,2,16
"F",17,2,4,2,2,0,4,3,3,1,4,1,12.6666666666667
"F",17,2,2,2,2,0,4,4,4,5,6,2.5,12
"F",18,3,2,2,2,0,4,1,1,5,45,1,10
"M",18,4,4,2,1,0,3,2,4,3,14,2.5,10
"M",18,4,4,2,2,0,4,2,4,2,11,2.5,10.3333333333333
"F",18,4,4,1,2,1,2,4,4,4,8,1,10.6666666666667
"M",18,4,3,2,1,0,4,2,3,1,4,1.5,10
"M",17,4,1,2,1,0,4,5,4,5,26,3,9.66666666666667
"M",17,3,2,1,1,0,4,4,4,3,18,3.5,11.6666666666667
"F",18,1,1,2,4,0,5,2,2,3,2,1,14.3333333333333
"F",18,1,1,2,2,0,5,4,4,4,2,1,11
"F",18,1,1,2,2,0,4,4,4,3,2,1.5,11.6666666666667
"F",17,2,2,1,2,0,5,4,5,5,8,1.5,11
"M",17,1,1,1,2,0,4,3,3,4,1,1.5,11.6666666666667
"F",18,2,2,1,3,0,4,3,3,2,2,1.5,18
"F",17,1,1,1,3,0,4,3,3,3,3,1,12.6666666666667
"M",18,2,1,1,3,0,4,2,4,2,3,2,14
"M",18,4,4,1,2,0,5,4,3,2,4,1,15.6666666666667
"M",18,4,2,1,2,0,4,3,2,5,6,2.5,14
"F",17,4,3,1,3,0,4,2,2,3,0,1.5,16
"F",17,3,1,2,4,0,3,1,2,3,3,1,18
"M",18,3,2,2,3,0,5,4,2,4,4,1,14
"M",17,3,3,1,1,0,4,4,3,5,2,2,13.6666666666667
"F",19,4,4,2,2,0,2,3,4,2,1,2.5,9.66666666666667
"F",18,4,3,2,2,0,4,4,5,2,5,1.5,11.3333333333333
"F",18,4,3,1,4,0,4,3,3,3,0,1,15.3333333333333
"M",18,4,4,1,1,0,1,4,2,1,2,2,16.3333333333333
"F",18,4,4,1,2,0,4,2,4,4,7,1,12.6666666666667
"M",17,4,4,2,1,0,4,1,1,5,0,2,12
"F",17,4,2,2,3,0,4,3,3,3,0,1,15
"F",17,3,2,1,4,0,5,2,2,5,0,1.5,18
"M",20,3,2,1,1,1,5,5,3,5,0,1,16
"M",19,3,3,1,2,0,4,5,3,5,0,1.5,11.6666666666667
"F",18,2,1,2,2,0,5,3,3,1,1,1.5,9.33333333333333
"F",18,4,3,1,3,0,4,3,4,5,6,1,12.3333333333333
"F",17,3,4,1,3,0,4,3,4,5,1,3.5,13.3333333333333
"F",18,4,4,1,2,0,4,4,4,5,1,3,11.6666666666667
"F",17,4,3,1,2,0,5,2,2,5,18,1.5,14.3333333333333
"F",17,2,2,1,2,0,4,2,2,3,8,1,11.3333333333333
"F",17,2,2,1,3,0,3,3,2,3,2,2,10.6666666666667
"F",17,3,1,1,3,0,3,4,3,5,0,2.5,15.3333333333333
"F",17,0,2,2,3,0,3,3,3,2,0,2.5,14.6666666666667
"M",18,4,4,1,3,0,4,3,3,3,2,2,12
"M",17,3,3,1,1,0,4,3,5,5,2,4,16
"M",17,2,2,4,1,0,4,4,5,4,5,5,10.3333333333333
"F",17,4,4,1,2,0,5,4,2,4,4,2.5,10
"F",17,4,4,1,3,0,5,4,4,4,4,2,11
"F",17,4,4,2,3,0,4,3,3,4,4,1.5,14
"M",18,2,2,1,4,0,4,5,5,5,1,3,10
"F",17,2,4,1,3,0,4,4,3,5,4,1,14
"F",18,3,3,1,2,0,5,3,4,4,4,1,6.66666666666667
"F",18,2,2,1,2,0,4,3,3,2,0,1,7.66666666666667
"F",18,2,2,2,4,0,4,4,4,4,3,1,10
"F",17,3,4,1,3,0,4,4,5,5,12,2,14
"F",17,3,2,1,2,0,4,3,2,2,0,2.5,9.33333333333333
"F",18,3,3,1,4,0,5,3,3,1,6,1,15
"F",17,3,2,1,2,0,4,3,3,2,2,2.5,12.3333333333333
"M",18,4,4,2,2,0,4,2,4,2,3,2.5,9
"M",18,4,4,1,2,0,4,3,3,2,0,2,9.33333333333333
"M",18,3,4,1,2,0,4,3,3,5,8,2,16
"F",17,2,2,1,2,0,3,3,1,4,9,1.5,9
"F",18,2,3,1,3,0,4,3,3,3,2,1.5,11.3333333333333
"F",18,3,2,1,3,0,5,4,3,1,6,2.5,14.6666666666667
"M",18,4,3,1,3,0,5,3,2,4,6,1.5,15.3333333333333
"M",18,4,3,1,3,0,5,4,5,5,0,2.5,12
"F",17,4,3,1,3,0,4,4,3,4,0,2,13.3333333333333
"M",18,3,2,2,1,0,2,5,5,5,9,5,11.3333333333333
"M",19,1,1,3,2,2,5,4,4,2,8,3,9
"M",17,3,3,2,2,0,4,5,4,3,3,2.5,11
"M",18,1,3,1,1,0,4,3,3,3,4,2.5,8
"M",19,1,1,3,1,1,4,4,4,5,4,3,8.33333333333333
"M",17,4,3,2,2,0,4,5,5,2,4,2,11.3333333333333
"F",18,3,3,1,2,0,5,3,4,5,0,1,10
"F",17,4,4,2,2,0,4,3,3,5,3,1.5,12
"F",17,3,2,2,2,0,1,2,3,5,1,1.5,13.3333333333333
"M",18,1,1,2,1,0,3,3,2,3,3,1.5,12
"F",18,1,1,2,3,0,5,3,2,4,0,1,17
"F",18,3,3,2,2,0,4,3,2,3,3,2,12
"F",17,4,4,1,2,0,2,3,4,1,2,1,15
"F",17,1,2,2,2,0,3,2,2,3,0,1.5,12
"M",18,1,3,2,2,0,3,3,4,3,2,3,9.66666666666667
"M",18,4,4,2,3,0,4,2,2,5,0,2,14
"F",17,1,1,3,1,1,5,2,1,1,0,1.5,6.33333333333333
"F",18,2,3,2,1,0,5,2,3,4,0,1.5,10
"F",18,4,4,3,2,0,3,2,2,5,5,3,8
"M",18,1,2,3,1,0,4,3,3,3,3,2.5,11.3333333333333
"F",17,2,2,1,3,0,3,4,3,3,8,1,11.6666666666667
"F",17,1,2,1,1,0,3,5,5,1,9,2,6.33333333333333
"F",18,4,4,2,3,0,5,4,4,1,0,1,17.6666666666667
"F",18,1,1,4,3,0,4,3,2,4,3,1.5,10
"F",18,4,4,1,2,0,5,4,3,2,2,3.5,11.3333333333333
"F",18,3,3,1,2,0,4,1,3,1,0,1.5,16
"F",17,3,1,1,2,0,4,5,4,1,14,2.5,9.66666666666667
"M",18,4,4,1,2,0,3,2,4,2,4,2.5,16
"M",18,2,1,2,1,0,4,4,3,5,2,2,5.66666666666667
"M",17,2,3,2,2,0,4,4,3,3,3,1,12.6666666666667
"M",19,1,1,2,1,1,4,3,2,5,0,2,4
"M",18,4,2,2,1,1,5,4,3,3,7,3.5,4.66666666666667
"F",18,2,2,2,3,0,5,3,3,4,1,2,12.3333333333333
"F",18,4,4,3,1,0,4,4,3,5,6,2,7
"F",19,2,3,1,3,1,5,4,2,5,2,1.5,7
"F",18,3,1,1,2,0,4,3,4,1,2,1,11.6666666666667
"F",18,1,1,2,2,2,2,2,2,5,2,2,5.33333333333333
"F",18,1,1,2,2,0,1,1,1,5,3,1,6.66666666666667
"M",17,3,1,2,1,0,2,4,5,2,4,3.5,12.6666666666667
"M",18,3,2,3,1,0,4,4,1,5,2,3.5,10.6666666666667
